Time: 3651.00, Colonized: 41, Detected: 13, Isolated: 13
Time: 3651.00, Colonized: 41, Detected: 13, Isolated: 13
Time: 3652.00, Colonized: 39, Detected: 11, Isolated: 11
Time: 3652.00, Colonized: 39, Detected: 11, Isolated: 11
Time: 3653.00, Colonized: 44, Detected: 10, Isolated: 10
Time: 3653.00, Colonized: 44, Detected: 10, Isolated: 10
Time: 3654.00, Colonized: 45, Detected: 12, Isolated: 12
Time: 3654.00, Colonized: 45, Detected: 12, Isolated: 12
Time: 3655.00, Colonized: 48, Detected: 12, Isolated: 12
Time: 3655.00, Colonized: 48, Detected: 12, Isolated: 12
Time: 3656.00, Colonized: 42, Detected: 11, Isolated: 11
Time: 3656.00, Colonized: 42, Detected: 11, Isolated: 11
Time: 3657.00, Colonized: 41, Detected: 12, Isolated: 12
Time: 3657.00, Colonized: 41, Detected: 12, Isolated: 12
Time: 3658.00, Colonized: 40, Detected: 14, Isolated: 14
Time: 3658.00, Colonized: 40, Detected: 14, Isolated: 14
Time: 3659.00, Colonized: 41, Detected: 14, Isolated: 14
Time: 3659.00, Colonized: 41, Detected: 14, Isolated: 14
Time: 3660.00, Colonized: 39, Detected: 12, Isolated: 12
Time: 3660.00, Colonized: 39, Detected: 12, Isolated: 12
Time: 3661.00, Colonized: 39, Detected: 13, Isolated: 13
Time: 3661.00, Colonized: 39, Detected: 13, Isolated: 13
Time: 3662.00, Colonized: 42, Detected: 13, Isolated: 13
Time: 3662.00, Colonized: 42, Detected: 13, Isolated: 13
Time: 3663.00, Colonized: 46, Detected: 12, Isolated: 12
Time: 3663.00, Colonized: 46, Detected: 12, Isolated: 12
Time: 3664.00, Colonized: 46, Detected: 10, Isolated: 10
Time: 3664.00, Colonized: 46, Detected: 10, Isolated: 10
Time: 3665.00, Colonized: 43, Detected: 15, Isolated: 15
Time: 3665.00, Colonized: 43, Detected: 15, Isolated: 15
Time: 3666.00, Colonized: 42, Detected: 15, Isolated: 15
Time: 3666.00, Colonized: 42, Detected: 15, Isolated: 15
Time: 3667.00, Colonized: 43, Detected: 18, Isolated: 18
Time: 3667.00, Colonized: 43, Detected: 18, Isolated: 18
Time: 3668.00, Colonized: 43, Detected: 17, Isolated: 17
Time: 3668.00, Colonized: 43, Detected: 17, Isolated: 17
Time: 3669.00, Colonized: 43, Detected: 19, Isolated: 19
Time: 3669.00, Colonized: 43, Detected: 19, Isolated: 19
Time: 3670.00, Colonized: 41, Detected: 21, Isolated: 21
Time: 3670.00, Colonized: 41, Detected: 21, Isolated: 21
Time: 3671.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3671.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3672.00, Colonized: 43, Detected: 21, Isolated: 21
Time: 3672.00, Colonized: 43, Detected: 21, Isolated: 21
Time: 3673.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3673.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3674.00, Colonized: 40, Detected: 21, Isolated: 21
Time: 3674.00, Colonized: 40, Detected: 21, Isolated: 21
Time: 3675.00, Colonized: 40, Detected: 20, Isolated: 20
Time: 3675.00, Colonized: 40, Detected: 20, Isolated: 20
Time: 3676.00, Colonized: 39, Detected: 21, Isolated: 21
Time: 3676.00, Colonized: 39, Detected: 21, Isolated: 21
Time: 3677.00, Colonized: 38, Detected: 23, Isolated: 23
Time: 3677.00, Colonized: 38, Detected: 23, Isolated: 23
Time: 3678.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3678.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3679.00, Colonized: 36, Detected: 24, Isolated: 24
Time: 3679.00, Colonized: 36, Detected: 24, Isolated: 24
Time: 3680.00, Colonized: 41, Detected: 25, Isolated: 25
Time: 3680.00, Colonized: 41, Detected: 25, Isolated: 25
Time: 3681.00, Colonized: 42, Detected: 23, Isolated: 23
Time: 3681.00, Colonized: 42, Detected: 23, Isolated: 23
Time: 3682.00, Colonized: 46, Detected: 23, Isolated: 23
Time: 3682.00, Colonized: 46, Detected: 23, Isolated: 23
Time: 3683.00, Colonized: 44, Detected: 22, Isolated: 22
Time: 3683.00, Colonized: 44, Detected: 22, Isolated: 22
Time: 3684.00, Colonized: 40, Detected: 22, Isolated: 22
Time: 3684.00, Colonized: 40, Detected: 22, Isolated: 22
Time: 3685.00, Colonized: 43, Detected: 22, Isolated: 22
Time: 3685.00, Colonized: 43, Detected: 22, Isolated: 22
Time: 3686.00, Colonized: 42, Detected: 22, Isolated: 22
Time: 3686.00, Colonized: 42, Detected: 22, Isolated: 22
Time: 3687.00, Colonized: 40, Detected: 23, Isolated: 23
Time: 3687.00, Colonized: 40, Detected: 23, Isolated: 23
Time: 3688.00, Colonized: 43, Detected: 23, Isolated: 23
Time: 3688.00, Colonized: 43, Detected: 23, Isolated: 23
Time: 3689.00, Colonized: 40, Detected: 21, Isolated: 21
Time: 3689.00, Colonized: 40, Detected: 21, Isolated: 21
Time: 3690.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3690.00, Colonized: 42, Detected: 21, Isolated: 21
Time: 3691.00, Colonized: 40, Detected: 19, Isolated: 19
Time: 3691.00, Colonized: 40, Detected: 19, Isolated: 19
Time: 3692.00, Colonized: 43, Detected: 24, Isolated: 24
Time: 3692.00, Colonized: 43, Detected: 24, Isolated: 24
Time: 3693.00, Colonized: 40, Detected: 21, Isolated: 21
Time: 3693.00, Colonized: 40, Detected: 21, Isolated: 21
Time: 3694.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3694.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3695.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3695.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3696.00, Colonized: 38, Detected: 21, Isolated: 21
Time: 3696.00, Colonized: 38, Detected: 21, Isolated: 21
Time: 3697.00, Colonized: 37, Detected: 20, Isolated: 20
Time: 3697.00, Colonized: 37, Detected: 20, Isolated: 20
Time: 3698.00, Colonized: 36, Detected: 22, Isolated: 22
Time: 3698.00, Colonized: 36, Detected: 22, Isolated: 22
Time: 3699.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3699.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3700.00, Colonized: 36, Detected: 21, Isolated: 21
Time: 3700.00, Colonized: 36, Detected: 21, Isolated: 21
Time: 3701.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3701.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3702.00, Colonized: 33, Detected: 22, Isolated: 22
Time: 3702.00, Colonized: 33, Detected: 22, Isolated: 22
Time: 3703.00, Colonized: 34, Detected: 22, Isolated: 22
Time: 3703.00, Colonized: 34, Detected: 22, Isolated: 22
Time: 3704.00, Colonized: 32, Detected: 20, Isolated: 20
Time: 3704.00, Colonized: 32, Detected: 20, Isolated: 20
Time: 3705.00, Colonized: 35, Detected: 21, Isolated: 21
Time: 3705.00, Colonized: 35, Detected: 21, Isolated: 21
Time: 3706.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3706.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3707.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3707.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3708.00, Colonized: 32, Detected: 21, Isolated: 21
Time: 3708.00, Colonized: 32, Detected: 21, Isolated: 21
Time: 3709.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3709.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3710.00, Colonized: 37, Detected: 23, Isolated: 23
Time: 3710.00, Colonized: 37, Detected: 23, Isolated: 23
Time: 3711.00, Colonized: 36, Detected: 24, Isolated: 24
Time: 3711.00, Colonized: 36, Detected: 24, Isolated: 24
Time: 3712.00, Colonized: 36, Detected: 23, Isolated: 23
Time: 3712.00, Colonized: 36, Detected: 23, Isolated: 23
Time: 3713.00, Colonized: 37, Detected: 24, Isolated: 24
Time: 3713.00, Colonized: 37, Detected: 24, Isolated: 24
Time: 3714.00, Colonized: 41, Detected: 26, Isolated: 26
Time: 3714.00, Colonized: 41, Detected: 26, Isolated: 26
Time: 3715.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3715.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3716.00, Colonized: 39, Detected: 29, Isolated: 29
Time: 3716.00, Colonized: 39, Detected: 29, Isolated: 29
Time: 3717.00, Colonized: 41, Detected: 29, Isolated: 29
Time: 3717.00, Colonized: 41, Detected: 29, Isolated: 29
Time: 3718.00, Colonized: 37, Detected: 28, Isolated: 28
Time: 3718.00, Colonized: 37, Detected: 28, Isolated: 28
Time: 3719.00, Colonized: 38, Detected: 26, Isolated: 26
Time: 3719.00, Colonized: 38, Detected: 26, Isolated: 26
Time: 3720.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3720.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3721.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3721.00, Colonized: 40, Detected: 27, Isolated: 27
